ORIGIN	OTS	INALI	OTQ
"Ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha."	"ngu mra me̱ti, nu'a r'a hyodi, jabu mi y'o, n'a ngu n'a mi kjohya mi mfe̱m'a xinxi xi mi kjohya ya ndäte, mi tjede n'a ngu n'a mi jñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaja."	"ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha."	"ngu mra me̱ti, nu'a r'a hyodi, habu mi y'o, n'a ngu n'a mi johya mi mfe̱m'a xinxi xi mi johya ya ndäte, mi thede n'a ngu n'a mi hñu̱fi ne mi fe̱m'a ya xinxi: xi mi b'u̱i mpaha."
Ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra Ts'e̱y'e̱hmu.	ebu̱ bi mä nuna b'e̱fi xa tjoki xajño bi kjohya ra ts'e̱y'e̱jmu.	ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra ts'e̱y'e̱hmu.	ebu̱ bi mä nuna b'e̱fi xa thoki xahño bi johya ra ts'e̱y'e̱hmu.
"Nuna bi johya ha ra mabagi,"	"nuna bi kjojya ja ra mabagi,"	"nuna bi johya ha ra mabagi,"	"nuna bi johya ha ra mabagi,"
"Ya miñ'o ko ngehna hmä ri johya,"	"ya miñ'o ko ngejna jmä ri kjojya,"	"ya miñ'o ko ngehna hmä ri johya,"	"ya miñ'o ko ngehna hmä ri johya,"
Ri ñ'udi xahño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.	ri ñ'udi xajño nubia jankja beni ya metlaxcala bi do̱m'i mpaja nuya nso̱jo̱ kjä'i.	ri ñ'udi xahño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.	ri ñ'udi xahño nubia hanja beni ya metlaxcala bi do̱m'i mpaha nuya nso̱ho̱ jä'i.
Ya r'atsanoya ra Sahagún mi mä hanja mi yopa tsini. Ya ndeznä bi nkohi inda ñ'udi. Mi hatatho pa bi mu̠di ra ntuhni	ya r'atsanoya ra sajagún mi mä jankja mi yopa tsini. ya ndeznä bi nkoji inda ñ'udi. mi jatatjo pa bi mu̱di ra ntujni	ya r'atsanoya ra sahagún mi mä hanja mi yopa tsini. ya ndeznä bi nkohi inda ñ'udi. mi hatatho pa bi mu̱di ra ntuhni	ya r'atsanoya ra sahagún mi mä hanja mi yopa tsini. ya ndeznä bi nkohi inda ñ'udi. mi hatatho pa bi mu̱di ra ntuhni
"ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu"	"ne ya nt'u̱i, jankja di tjuts'i ya nt'ofo, nkjap'u̱ neje mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra jñäjñu"	"ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu"	"ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu"
bri juahni po nuya dra hmu.	bri kjuajni po nuya dra jmu.	bri juahni po nuya dra hmu.	bri juahni po nuya dra hmu.
"Ge mä ra bonahmu metetzcoco ge, enfrentar ra Cacamatzin, bi juahni bi fats'i ra Cortés."	"ge mä ra bonajmu metetzcoco ge, enfrentar ra cacmatzin, bi kjuajni bi fats'i ra cortés."	"ge mä ra bonahmu metetzcoco ge, enfrentar ra cacamatzin, bi juahni bi fats'i ra cortés."	"ge mä ra bonahmu metetzcoco ge, enfrentar ra cacamatzin, bi juahni bi fats'i ra cortés."
"r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (Ychtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱,"	"r'a nuna mi ntjandi ngu nu'a ma tjänkjuaju̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ja ya ngo̱,"	"r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (ychtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱,"	"r'a nuna mi nthandi ngu nu'a ma thänjuahu̱ (ytxtlilmatli), xi mra nts'o, mi kuet'e ha ya ngo̱,"
"nub'u̱ nu'i ingi japi da bo̱nga nu'a ra makja ha nu'a ra hnini, ¿hanja ra yotui, ga tso̱gi nubu̱ ma b'e̱hña? O̱t'a r'ato ya je̱ya bi mu̱di [ra makja ra Bartolomé López]"	"nub'u̱ nu'i ingi kjapi da bo̱nga nu'a ra makja ja nu'a ra jnini, ¿jankja ra yotui, ga tso̱gi nubu̱ ma b'e̱jña? o̱t'a r'ato ya kje̱ya bi mu̱di [ra makja ra bartolomé lópez]"	"nub'u̱ nu'i ingi japi da bo̱nga nu'a ra makja ha nu'a ra hnini, ¿hanja ra yotui, ga tso̱gi nubu̱ ma b'e̱hña? o̱t'a r'ato ya je̱ya bi mu̱di [ra makja ra bartolomé lópez]"	"nub'u̱ nu'i ingi japi da bo̱nga nu'a ra makja ha nu'a ra hnini, ¿hanja ra yotui, ga tso̱gi nubu̱ ma b'e̱hña? o̱t'a r'ato ya je̱ya bi mu̱di [ra makja ra bartolomé lópez]"
"bi boxro xi 'be̱ts'ina, bido'u̱ ro 'yu̱ni 'na, xi bi bo̱x ro hjua 'na, bido'u̱ ro ts'ii 'na, xi bo̱xro ts'äre 'na. Ge'bu̱ go min pu̱n doja 'na."	"bi boxro xi 'be̱ts'ina, bido'u̱ ro 'yu̱ni 'na, xi bi bo̱x ro hkjua 'na, bido'u̱ ro ts'ii 'na, xi bo̱xro ts'äre 'na. ge'bu̱ go min pu̱n doja 'na."	"bi boxro xi 'be̱ts'ina, bido'u̱ ro 'yu̱ni 'na, xi bi bo̱x ro hjua 'na, bido'u̱ ro ts'ii 'na, xi bo̱xro ts'äre 'na. ge'bu̱ go min pu̱n doja 'na."	"bi boxro xi 'be̱ts'ina, bido'u̱ ro 'yu̱ni 'na, xi bi bo̱x ro hjua 'na, bido'u̱ ro ts'ii 'na, xi bo̱xro ts'äre 'na. ge'bu̱ go min pu̱n doja 'na."
gatho nuna hai ha nuna R'ayo Ximhai njabu̱ bi thutuabi nuya nso̱ho̱jä'i inbi tsa bi thutuabi man'a ra thuhu.	gatjo nuna jai ja nuna r'ayo ximjai nkjabu̱ bi tjutuabi nuya nso̱jo̱jä'i inbi tsa bi tjutuabi man'a ra tjuju.	gatho nuna hai ha nuna r'ayo ximhai njabu̱ bi thutuabi nuya nso̱ho̱jä'i inbi tsa bi thutuabi man'a ra thuhu.	gatho nuna hai ha nuna r'ayo ximhai njabu̱ bi thutuabi nuya nso̱ho̱jä'i inbi tsa bi thutuabi man'a ra thuhu.
"Ham'u̱ gatho ya juän'ahmä ge nuua xa ze̱ti ri ñ'ehe dige'a ya noya ya mu̱dimehai ha ra hñä ya ndeznä, nuna thuhu ri uni inga se̱he̱ ra n'atsanoya pa da fädi ra hñämfo̱, ingi ri me̱udi dige'a ra hmä fu̱oti dige'a nuna ra hñäki ra Netzahualcoyotl. Ne ra Cuauhtémoc."	"jam'u̱ gatjo ya kjuän'ajmä ge nuua xa ze̱ti ri ñ'eje dige'a ya noya ya mu̱dimejai ja ra jñä ya ndeznä, nuna tjuju ri uni inga se̱je̱ ra n'atsanoya pa da fädi ra jñämfo̱, ingi ri me̱udi dige'a ra jmä fu̱oti dige'a nuna ra jñäki ra netzajualtsoyotl. ne ra cuauhtémoc."	"ham'u̱ gatho ya juän'ahmä ge nuua xa ze̱ti ri ñ'ehe dige'a ya noya ya mu̱dimehai ha ra hñä ya ndeznä, nuna thuhu ri uni inga se̱he̱ ra n'atsanoya pa da fädi ra hñämfo̱, ingi ri me̱udi dige'a ra hmä fu̱oti dige'a nuna ra hñäki ra netzahualcoyotl. ne ra cuauhtémoc."	"ham'u̱ gatho ya juän'ahmä ge nuua xa ze̱ti ri ñ'ehe dige'a ya noya ya mu̱dimehai ha ra hñä ya ndeznä, nuna thuhu ri uni inga se̱he̱ ra n'atsanoya pa da fädi ra hñämfo̱, ingi ri me̱udi dige'a ra hmä fu̱oti dige'a nuna ra hñäki ra netzahualcoyotl. ne ra cuauhtémoc."
"Ha bi häni ra ñ'udi, ma jä'ihu̱ bi ent'i gatho mahye̱gi nuya nzu̱te"	"ja bi jäni ra ñ'udi, ma kjä'iju̱ bi ent'i gatjo majye̱gi nuya nzu̱te"	"ha bi häni ra ñ'udi, ma jä'ihu̱ bi ent'i gatho mahye̱gi nuya nzu̱te"	"ha bi häni ra ñ'udi, ma jä'ihu̱ bi ent'i gatho mahye̱gi nuya nzu̱te"
Mi hneki ngu ma jä'ihu̱ ngabu̱ mri hneki.	mi jneki ngu ma kjä'iju̱ ngabu̱ mri jneki.	mi hneki ngu ma jä'ihu̱ ngabu̱ mri hneki.	mi hneki ngu ma jä'ihu̱ ngabu̱ mri hneki.
¿Te da o̱t'e ma jä'ihu̱ sta b'e̱dihu̱?	¿te da o̱t'e ma kjä'iju̱ sta b'e̱diju̱?	¿te da o̱t'e ma jä'ihu̱ sta b'e̱dihu̱?	¿te da o̱t'e ma jä'ihu̱ sta b'e̱dihu̱?
"R'a ya jä'i mi b'u̱i ha ra ngumi ja nunu ha ra hnini ri manjuäntho pa da tsoni nubu̱ ra Amáxac,"	"r'a ya kjä'i mi b'u̱i ja ra ngumi kja nunu ja ra jnini ri mankjuäntjo pa da tsoni nubu̱ ra amáxac,"	"r'a ya jä'i mi b'u̱i ha ra ngumi ja nunu ha ra hnini ri manjuäntho pa da tsoni nubu̱ ra amáxac,"	"r'a ya jä'i mi b'u̱i ha ra ngumi ja nunu ha ra hnini ri manjuäntho pa da tsoni nubu̱ ra amáxac,"
"Into y'o manjuäntho, into pa ri nektho."	"into y'o mankjuäntjo, into pa ri nektjo."	"into y'o manjuäntho, into pa ri nektho."	"into y'o manjuäntho, into pa ri nektho."
bi ma manjuäntho habu̱ mi b'u̱i ra Ts'e̱y'e̱hmu bi xipabi;	bi ma mankjuäntjo jabu̱ mi b'u̱i ra ts'e̱y'e̱jmu bi xipabi;	bi ma manjuäntho habu̱ mi b'u̱i ra ts'e̱y'e̱hmu bi xipabi;	bi ma manjuäntho habu̱ mi b'u̱i ra ts'e̱y'e̱hmu bi xipabi;
"T'ena ge inbi unga mfädi pa gatho ya jä'i mi ñ'oui, ge nuna ndada ra Marqués da ñ'ehe dra hmu ha ma haihe, da ja me̱ti nu'a di pe̱tsihe nehe dra jakagihe ga mpe̱fihe ra hai ge bi umbabi o bi hänbabi ya hoga hai ya n'añ'o hnini."	"t'ena ge inbi unga mfädi pa gatjo ya kjä'i mi ñ'oui, ge nuna ndada ra marqués da ñ'eje dra jmu ja ma jaije, da ja me̱ti nu'a di pe̱tsije neje dra kjakagije ga mpe̱fije ra jai ge bi umbabi o bi jänbabi ya joga jai ya n'añ'o jnini."	"t'ena ge inbi unga mfädi pa gatho ya jä'i mi ñ'oui, ge nuna ndada ra marqués da ñ'ehe dra hmu ha ma haihe, da ja me̱ti nu'a di pe̱tsihe nehe dra jakagihe ga mpe̱fihe ra hai ge bi umbabi o bi hänbabi ya hoga hai ya n'añ'o hnini."	"t'ena ge inbi unga mfädi pa gatho ya jä'i mi ñ'oui, ge nuna ndada ra marqués da ñ'ehe dra hmu ha ma haihe, da ja me̱ti nu'a di pe̱tsihe nehe dra jakagihe ga mpe̱fihe ra hai ge bi umbabi o bi hänbabi ya hoga hai ya n'añ'o hnini."
"y'o, ri ma ne gi xipabihu̱ ya metlaxcala ge ma r'a ya me̱ti jä'i ne ri ajuähu̱, ge nu'a ga mä ge xa ehe nuua ma haihu̱, ge di umbabihe ma nthädihe."	"y'o, ri ma ne gi xipabiju̱ ya metlaxcala ge ma r'a ya me̱ti kjä'i ne ri ajuäju̱, ge nu'a ga mä ge xa eje nuua ma jaiju̱, ge di umbabije ma ntjädije."	"y'o, ri ma ne gi xipabihu̱ ya metlaxcala ge ma r'a ya me̱ti jä'i ne ri ajuähu̱, ge nu'a ga mä ge xa ehe nuua ma haihu̱, ge di umbabihe ma nthädihe."	"y'o, ri ma ne gi xipabihu̱ ya metlaxcala ge ma r'a ya me̱ti jä'i ne ri ajuähu̱, ge nu'a ga mä ge xa ehe nuua ma haihu̱, ge di umbabihe ma nthädihe."
"Ra nthädi ra Cuitlahuacatzin bi ena ge ina da o̱t'e nuya bi b'e̱pabi ya nso̱ho̱jä'i,"	"ra ntjädi ra cuitlahuacatzin bi ena ge ina da o̱t'e nuya bi b'e̱pabi ya nso̱jo̱jä'i,"	"ra nthädi ra cuitlahuacatzin bi ena ge ina da o̱t'e nuya bi b'e̱pabi ya nso̱ho̱jä'i,"	"ra nthädi ra cuitlahuacatzin bi ena ge ina da o̱t'e nuya bi b'e̱pabi ya nso̱ho̱jä'i,"
Dra jä'ihe ha nu'a ra hnini.	dra kjä'ihe ja nu'a ra jnini.	dra jä'ihe ha nu'a ra hnini.	dra jä'ihe ha nu'a ra hnini.
"ma bo̱nahmu'ihe: nuna b'e̱fi ga tsokagihe sta juatihe gatho: gi nuti nuua, xa hño bo̱nahmu."	"ma bo̱najmu'ije: nuna b'e̱fi ga tsokagije sta kjuatihe gatjo: gi nuti nuua, xa jño bo̱najmu."	"ma bo̱nahmu'ihe: nuna b'e̱fi ga tsokagihe sta juatihe gatho: gi nuti nuua, xa hño bo̱nahmu."	"ma bo̱nahmu'ihe: nuna b'e̱fi ga tsokagihe sta juatihe gatho: gi nuti nuua, xa hño bo̱nahmu."
Habu̱ ga ju̱he nuyu̱ (ya tenochcas) te gi honihu̱?	jabu̱ ga kju̱he nuyu̱ (ya tenochcas) te gi joniju̱?	habu̱ ga ju̱he nuyu̱ (ya tenochcas) te gi honihu̱?	habu̱ ga ju̱he nuyu̱ (ya tenochcas) te gi honihu̱?
"di to̱m'ihe ra ñ'ethi pa nugagihe, n'a ra pa ngu ma n'a ra pa thogi nekagihe di huadihe ra nge'a indi tse̱tihe nuna b'u̱i t'o̱t'e ko ngekagihe man'año ya ntho, t'e̱nts'igihe thi ma haihe ma me̱tihe, ju̱kagihe ga mpe̱fihe ndunthi, b'e̱kagihe ga jut'ihe xdunthi ya boja, n'a ngu n'a ra pa nuna njut'i di o̱t'ehe man'a te ma thaihe di tuhe."	"di to̱m'ihe ra ñ'etji pa nugagije, n'a ra pa ngu ma n'a ra pa tjogi nekagije di juadije ra nge'a indi tse̱tije nuna b'u̱i t'o̱t'e ko ngekagije man'año ya ntjo, t'e̱nts'igije tji ma jaije ma me̱tije, ju̱kagije ga mpe̱fije nduntji, b'e̱kagije ga jut'ije xduntji ya boja, n'a ngu n'a ra pa nuna njut'i di o̱t'eje man'a te ma tjaije di tuje."	"di to̱m'ihe ra ñ'ethi pa nugagihe, n'a ra pa ngu ma n'a ra pa thogi nekagihe di huadihe ra nge'a indi tse̱tihe nuna b'u̱i t'o̱t'e ko ngekagihe man'año ya ntho, t'e̱nts'igihe thi ma haihe ma me̱tihe, ju̱kagihe ga mpe̱fihe ndunthi, b'e̱kagihe ga jut'ihe xdunthi ya boja, n'a ngu n'a ra pa nuna njut'i di o̱t'ehe man'a te ma thaihe di tuhe."	"di to̱m'ihe ra ñ'ethi pa nugagihe, n'a ra pa ngu ma n'a ra pa thogi nekagihe di huadihe ra nge'a indi tse̱tihe nuna b'u̱i t'o̱t'e ko ngekagihe man'año ya ntho, t'e̱nts'igihe thi ma haihe ma me̱tihe, ju̱kagihe ga mpe̱fihe ndunthi, b'e̱kagihe ga jut'ihe xdunthi ya boja, n'a ngu n'a ra pa nuna njut'i di o̱t'ehe man'a te ma thaihe di tuhe."
"Nub'u̱ ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u̱ ndi unihe ya k'astaboja mi häni made n'a tu̱ki [...]"	"nub'u̱ ndi umbabije ma nkjut'ije xki nzäi ndi da'ije, mi adi n'a tu̱ki neje nub'u̱ ndi unije ya k'astaboja mi jäni made n'a tu̱ki [...]"	"nub'u̱ ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u̱ ndi unihe ya k'astaboja mi häni made n'a tu̱ki [...]"	"nub'u̱ ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u̱ ndi unihe ya k'astaboja mi häni made n'a tu̱ki [...]"
"Ndunthi bri johya, bri thuxpabi gatho nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:"	"nduntji bri kjojya, bri tjuxpabi gatjo nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:"	"ndunthi bri johya, bri thuxpabi gatho nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:"	"ndunthi bri johya, bri thuxpabi gatho nu'a mi o̱t'abi ra b'edi, ko nge'u̱ bi m'u̱i ne mi t'umbabi ya t'ixu:"
"Ya miñ'o ko ngehna hmä ri johya,"	"ya miñ'o ko ngejna jmä ri kjojya,"	"ya miñ'o ko ngehna hmä ri johya,"	"ya miñ'o ko ngehna hmä ri johya,"
Ra Alvarado bi johi bi ntsabi. Bi ma nuni Tlacopan da ntsaya.	ra alvarado bi kjoji bi ntsabi. bi ma nuni tlacopan da ntsaya.	ra alvarado bi johi bi ntsabi. bi ma nuni tlacopan da ntsaya.	ra alvarado bi johi bi ntsabi. bi ma nuni tlacopan da ntsaya.
"Nuga̱ xi di ne'i, hindi pädi hanja..."	"nuga̱ xi di ne'i, jindi pädi jankja..."	"nuga̱ xi di ne'i, hindi pädi hanja..."	"nuga̱ xi di ne'i, hindi pädi hanja..."
"Fernando Alva Ixtlilxóchitl, xiii njändahmä ""ra ñ'ehe ya ñämfo̱ ne ra mu̱di ra hoga ts'ofo ra evangelio."""	"fernando alva ixtlilxóchitl, xiii nkjändajmä ""ra ñ'eje ya ñämfo̱ ne ra mu̱di ra joga ts'ofo ra evangelio."""	"fernando alva ixtlilxóchitl, xiii njändahmä ""ra ñ'ehe ya ñämfo̱ ne ra mu̱di ra hoga ts'ofo ra evangelio."""	"fernando alva ixtlilxótxitl, xiii njändahmä ""ra ñ'ehe ya ñämfo̱ ne ra mu̱di ra hoga ts'ofo ra evangelio."""
"Bi tse̱ti nuna ngot'i ra M'onda, ngu pede ra Dänga B'ede, ya K'oi ne ya njändahmä, ngu nu'a ra hmä ra Alonso Axayaca, goho n'ate ma pa bi nzo̱t'e nuna pa."	"bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya nkjändajmä, ngu nu'a ra jmä ra alonso axayaca, gojo n'ate ma pa bi nzo̱t'e nuna pa."	"bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya njändahmä, ngu nu'a ra hmä ra alonso axayaca, goho n'ate ma pa bi nzo̱t'e nuna pa."	"bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya njändahmä, ngu nu'a ra hmä ra alonso axayaca, goho n'ate ma pa bi nzo̱t'e nuna pa."
—Dom'i ma ajuähu̱ ge inda yu̱t'a ha ma nguhu̱ nuhu̱ to'o e̱nts'i pa thi ne da hokuabi ra honanhyo nub'u̱ sta ne da hyoki ya inda za.	-dom'i ma akjuäju̱ ge inda yu̱t'a ja ma nguju̱ nuju̱ to'o e̱nts'i pa tji ne da jokuabi ra jonanjyo nub'u̱ sta ne da jyoki ya inda za.	-dom'i ma ajuähu̱ ge inda yu̱t'a ha ma nguhu̱ nuhu̱ to'o e̱nts'i pa thi ne da hokuabi ra honanhyo nub'u̱ sta ne da hyoki ya inda za.	-dom'i ma ajuähu̱ ge inda yu̱t'a ha ma nguhu̱ nuhu̱ to'o e̱nts'i pa thi ne da hokuabi ra honanhyo nub'u̱ sta ne da hyoki ya inda za.
bi tso̱hso̱ ra ngo ma ajuähu̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tso̱jso̱ ra ngo ma akjuäju̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tso̱hso̱ ra ngo ma ajuähu̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tso̱hso̱ ra ngo ma ajuähu̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.
"Da umbabihe te da zi, da japabihe ndunthi ma zu."	"da umbabije te da zi, da kjapabije nduntji ma zu."	"da umbabihe te da zi, da japabihe ndunthi ma zu."	"da umbabihe te da zi, da japabihe ndunthi ma zu."
