ORIGIN	OTS	INALI	OTQ
"Ra nhñu ne ra ngästsi ra b'ist'ofo di huts'ihu̱ ha nuna ze̱ki b'ist'ofo, ri ñ'ehe ra VII njondahmä ra Chimalpain,"	"ra njñu ne ra ngästsi ra b'ist'ofo di juts'iju̱ ja nuna ze̱ki b'ist'ofo, ri ñ'eje ra vii nkjondajmä ra chimalpain,"	"ra nhñu ne ra ngästsi ra b'ist'ofo di huts'ihu̱ ha nuna ze̱ki b'ist'ofo, ri ñ'ehe ra vii njondahmä ra chimalpain,"	"ra nhñu ne ra ngästsi ra b'ist'ofo di huts'ihu̱ ha nuna ze̱ki b'ist'ofo, ri ñ'ehe ra vii njondahmä ra chimalpain,"
pa ga b'u̱i mpaha ne ga o̱t'e n'a ra njondahmä gatho nu'a ga handi.	pa ga b'u̱i mpaja ne ga o̱t'e n'a ra nkjondajmä gatjo nu'a ga jandi.	pa ga b'u̱i mpaha ne ga o̱t'e n'a ra njondahmä gatho nu'a ga handi.	pa ga b'u̱i mpaha ne ga o̱t'e n'a ra njondahmä gatho nu'a ga handi.
"Num'u̱ di johyahu̱, nkuehu̱, nts'o̱mihu̱, tsuhu ne pa da t'o̱xkähu̱ di hohñu̱ nu ya nt'u̱i xi di 'yoohu̱ (¡!). Nuya da nt'ot'i ko ra dänt'ot'i"	"num'u̱ di kjojyaju̱, nkueju̱, nts'o̱miju̱, tsuju ne pa da t'o̱xkäju̱ di jojñu̱ nu ya nt'u̱i xi di 'yooju̱ (¡!). nuya da nt'ot'i ko ra dänt'ot'í"	"num'u̱ di johyahu̱, nkuehu̱, nts'o̱mihu̱, tsuhu ne pa da t'o̱xkähu̱ di hohñu̱ nu ya nt'u̱i xi di 'yoohu̱ (¡!). nuya da nt'ot'i ko ra dänt'ot'í"	"num'u̱ di johyahu̱, nkuehu̱, nts'o̱mihu̱, tsuhu ne pa da t'o̱xkähu̱ di hohñu̱ nu ya nt'u̱i xi di 'yoohu̱ (¡!). nuya da nt'ot'i ko ra dänt'ot'í"
"Pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagihe, ¿hanja, nuua, ra hyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱hña]?"	"pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagije, ¿jankja, nuua, ra jyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱jña]?"	"pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagihe, ¿hanja, nuua, ra hyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱hña]?"	"pe, nu'i ndada nu'i ma t'ek'ei ra makja, nub'u̱ nu'i ingi zugagihe, ¿hanja, nuua, ra hyo di ge'a, ga tsogi nubu̱ [nu'a ma b'e̱hña]?"
"Into y'o manjuäntho, into pa ri nektho."	"into y'o manjuäntjo, into pa ri nektjo."	"into y'o manjuäntho, into pa ri nektho."	"into y'o manjuäntho, into pa ri nektho."
"Ha nubia di ndäki, di ndändiñähmu, di ma ga ts'u̱tsa'i ri y'e, ga ndäne'i ra nge'a nu'a'i ma makjahe, ra Bartolomé López, nub'u̱ mi njuäni ma b'e̱hña inbi njuäni ha nubu̱ mi xaxi pa da o̱t'a ya tso̱mfen"	"ja nubia di ndäki, di ndändiñäjmu, di ma ga ts'u̱tsa'i ri y'e, ga ndäne'i ra nge'a nu'a'i ma makjaje, ra bartolomé lópez, nub'u̱ mi nkjuäni ma b'e̱jña inbi nkjuäni ja nubu̱ mi xaxi pa da o̱t'a ya tso̱mfen"	"ha nubia di ndäki, di ndändiñähmu, di ma ga ts'u̱tsa'i ri y'e, ga ndäne'i ra nge'a nu'a'i ma makjahe, ra bartolomé lópez, nub'u̱ mi njuäni ma b'e̱hña inbi njuäni ha nubu̱ mi xaxi pa da o̱t'a ya tso̱mfen"	"ha nubia di ndäki, di ndändiñähmu, di ma ga ts'u̱tsa'i ri y'e, ga ndäne'i ra nge'a nu'a'i ma makjahe, ra bartolomé lópez, nub'u̱ mi njuäni ma b'e̱hña inbi njuäni ha nubu̱ mi xaxi pa da o̱t'a ya tso̱mfen"
"Ra nyoho nu'a mi zu ra Tepoztlan; ra nhñu ra me Tizatlan, ra njoho mi ñ'ehe nuni Huehuetlan ne ra nku̱ta mra Dänga Mictlan."	"ra nyojo nu'a mi zu ra tepoztlan; ra njñu ra me tizatlan, ra nkjojo mi ñ'eje nuni huehuetlan ne ra nku̱ta mra dänga mictlan."	"ra nyoho nu'a mi zu ra tepoztlan; ra nhñu ra me tizatlan, ra njoho mi ñ'ehe nuni huehuetlan ne ra nku̱ta mra dänga mictlan."	"ra nyoho nu'a mi zu ra tepoztlan; ra nhñu ra me tizatlan, ra njoho mi ñ'ehe nuni huehuetlan ne ra nku̱ta mra dänga mictlan."
—¿Nguande njabu̱ ga mäu gra juähu̱?	-¿nguande nkjabu̱ ga mäu gra kjuäju̱?	-¿nguande njabu̱ ga mäu gra juähu̱?	-¿nguande njabu̱ ga mäu gra juähu̱?
Da thuts'i ya njot'ihñä ( )	da tjuts'i ya nkjot'ijñä ( )	da thuts'i ya njot'ihñä ( )	da thuts'i ya njot'ihñä ( )
"Nuya tsat'io mi b'et'o, mi gu̱t'a ra ñ'u, mi teni, ya xiñu mi ju̱ts'i pa mañä, xi mi pähä gatho mi handi mi nest'ihi: mi tu̱ta ya jihni"	"nuya tsat'io mi b'et'o, mi gu̱t'a ra ñ'u, mi teni, ya xiñu mi kju̱ts'i pa mañä, xi mi päjä gatjo mi jandi mi nest'iji: mi tu̱ta ya kjijni"	"nuya tsat'io mi b'et'o, mi gu̱t'a ra ñ'u, mi teni, ya xiñu mi ju̱ts'i pa mañä, xi mi pähä gatho mi handi mi nest'ihi: mi tu̱ta ya jihni"	"nuya tsat'io mi b'et'o, mi gu̱t'a ra ñ'u, mi teni, ya xiñu mi ju̱ts'i pa mañä, xi mi pähä gatho mi handi mi nest'ihi: mi tu̱ta ya jihni"
Ra ngehna nuna pa bi ma n'a ra ñ'u manjuäntho.	ra ngejna nuna pa bi ma n'a ra ñ'u mankjuäntjo.	ra ngehna nuna pa bi ma n'a ra ñ'u manjuäntho.	ra ngehna nuna pa bi ma n'a ra ñ'u manjuäntho.
"xa zägi mpaha, nub'u̱ xa njabu̱ xa japabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda japi xa po̱ho̱ bi ya kue̱ ra nge'a ya jä'i xi mra no̱t'e ne mra hyotejä'i,"	"xa zägi mpaja, nub'u̱ xa nkjabu̱ xa kjapabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda kjapi xa po̱jo̱ bi ya kue̱ ra nge'a ya kjä'i xi mra no̱t'e ne mra jyotekjä'i,"	"xa zägi mpaha, nub'u̱ xa njabu̱ xa japabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda japi xa po̱ho̱ bi ya kue̱ ra nge'a ya jä'i xi mra no̱t'e ne mra hyotejä'i,"	"xa zägi mpaha, nub'u̱ xa njabu̱ xa japabi ma zu ne inte xa t'o̱tuabi nub'u̱ inda japi xa po̱ho̱ bi ya kue̱ ra nge'a ya jä'i xi mra no̱t'e ne mra hyotejä'i,"
"—Xa hño, di b'u̠ihe njamädihe."	"-xa jño, di b'u̱ije nkjamädije."	"-xa hño, di b'u̱ihe njamädihe."	"-xa hño, di b'u̱ihe njamädihe."
"Ha ya t'u̠ka ze̠ki thuts'i n'a tu̠kitho nuna thogi ge bi huxa ra Fernando Alva Ixtlilxóchitl, nu'a b'e̱tsi ra XIIIi njondahmä."	"ja ya t'u̱ka ze̱ki tjuts'i n'a tu̱kitjo nuna tjogi ge bi juxa ra fernando alva ixtlilxóchitl, nu'a b'e̱tsi ra xiiii nkjondajmä."	"ha ya t'u̱ka ze̱ki thuts'i n'a tu̱kitho nuna thogi ge bi huxa ra fernando alva ixtlilxóchitl, nu'a b'e̱tsi ra xiiii njondahmä."	"ha ya t'u̱ka ze̱ki thuts'i n'a tu̱kitho nuna thogi ge bi huxa ra fernando alva ixtlilxóchitl, nu'a b'e̱tsi ra xiiii njondahmä."
"mi mä dega ts'e̱dira hñä tso̱pu da ts'o̱ho̱bu nuya nzo̱ho̱jä'i ga handihu̱ te ma ts'e̱di pe̱tsi, ra nge'a ma ajuä ra Quetzalcohuatl b'u̱i nuua ko ngekagihu̱,"	"mi mä dega ts'e̱dira jñä tso̱pu da ts'o̱jo̱bu nuya nzo̱jo̱kjä'i ga jandiju̱ te ma ts'e̱di pe̱tsi, ra nge'a ma akjuä ra quetzalcohuatl b'u̱i nuua ko ngekagiju̱,"	"mi mä dega ts'e̱dira hñä tso̱pu da ts'o̱ho̱bu nuya nzo̱ho̱jä'i ga handihu̱ te ma ts'e̱di pe̱tsi, ra nge'a ma ajuä ra quetzalcohuatl b'u̱i nuua ko ngekagihu̱,"	"mi mä dega ts'e̱dira hñä tso̱pu da ts'o̱ho̱bu nuya nzo̱ho̱jä'i ga handihu̱ te ma ts'e̱di pe̱tsi, ra nge'a ma ajuä ra quetzalcohuatl b'u̱i nuua ko ngekagihu̱,"
"—Da ts'iua:... ri ñ'ehe ge'a ma njueih'u̱. Da o̱t'ehe ya ñ'o̱te ko ya he̱m'i, ya ñ'o̱t'ehe ko ya ntuts'i. Da o̱ts'e̱ ra b'e̱na noya."	"-da ts'iua:... ri ñ'eje ge'a ma nkjueij'u̱. da o̱t'eje ya ñ'o̱te ko ya je̱m'i, ya ñ'o̱t'eje ko ya ntuts'i. da o̱ts'e̱ ra b'e̱na noya."	"-da ts'iua:... ri ñ'ehe ge'a ma njueih'u̱. da o̱t'ehe ya ñ'o̱te ko ya he̱m'i, ya ñ'o̱t'ehe ko ya ntuts'i. da o̱ts'e̱ ra b'e̱na noya."	"-da ts'iua:... ri ñ'ehe ge'a ma njueih'u̱. da o̱t'ehe ya ñ'o̱te ko ya he̱m'i, ya ñ'o̱t'ehe ko ya ntuts'i. da o̱ts'e̱ ra b'e̱na noya."
"Ra nge'a di o̱t'a nuna noya ra ts'u̱tui ne gatho to'o da guat'a ha ma hyohe, nu'u̱ to'o da ne, da me̱tsi n'a ra hoga m'u̱i ne da m'u̱i manjuänthä. Ha nubu̱ xa mabu̱ ma noya ge di pe̱tsi ra tsa, dega hoga jä'i ne dega hogat'o̱t'antuhni"	"ra nge'a di o̱t'a nuna noya ra ts'u̱tui ne gatjo to'o da guat'a ja ma jyoje, nu'u̱ to'o da ne, da me̱tsi n'a ra joga m'u̱i ne da m'u̱i mankjuäntjä. ja nubu̱ xa mabu̱ ma noya ge di pe̱tsi ra tsa, dega joga kjä'i ne dega jogat'o̱t'antujni"	"ra nge'a di o̱t'a nuna noya ra ts'u̱tui ne gatho to'o da guat'a ha ma hyohe, nu'u̱ to'o da ne, da me̱tsi n'a ra hoga m'u̱i ne da m'u̱i manjuänthä. ha nubu̱ xa mabu̱ ma noya ge di pe̱tsi ra tsa, dega hoga jä'i ne dega hogat'o̱t'antuhni"	"ra nge'a di o̱t'a nuna noya ra ts'u̱tui ne gatho to'o da guat'a ha ma hyohe, nu'u̱ to'o da ne, da me̱tsi n'a ra hoga m'u̱i ne da m'u̱i manjuänthä. ha nubu̱ xa mabu̱ ma noya ge di pe̱tsi ra tsa, dega hoga jä'i ne dega hogat'o̱t'antuhni"
"ha mi tso nde, bi mu̱di bi nja n'a ra hneki ngu njagihu̱ dega jä'i, bi t'ot'e ra b'ai ngu dega jä'i,"	"ja mi tso nde, bi mu̱di bi nkja n'a ra jneki ngu nkjagiju̱ dega kjä'i, bi t'ot'e ra b'ai ngu dega kjä'i,"	"ha mi tso nde, bi mu̱di bi nja n'a ra hneki ngu njagihu̱ dega jä'i, bi t'ot'e ra b'ai ngu dega jä'i,"	"ha mi tso nde, bi mu̱di bi nja n'a ra hneki ngu njagihu̱ dega jä'i, bi t'ot'e ra b'ai ngu dega jä'i,"
"Nub'u̱ ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u̱ ndi unihe ya k'astaboja mi häni made n'a tu̱ki [...]"	"nub'u̱ ndi umbabije ma nkjut'ije xki nzäi ndi da'ije, mi adi n'a tu̱ki neje nub'u̱ ndi unije ya k'astaboja mi kjäni made n'a tu̱ki [...]"	"nub'u̱ ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u̱ ndi unihe ya k'astaboja mi häni made n'a tu̱ki [...]"	"nub'u̱ ndi umbabihe ma njut'ihe xki nzäi ndi da'ihe, mi adi n'a tu̱ki nehe nub'u̱ ndi unihe ya k'astaboja mi häni made n'a tu̱ki [...]"
"Njabu̱ ri ñ'ehe ya je̱ya inda m'e̱di, inda mpumfri, ga nzäi ga pe̱tsi nugagihu̱ ha ma mfenihu̱, ga pe̱tsi nugagihu̱, ra bätsi dige'u̱, ya b'e̱to, ya ntsaniku, ya mbänga b'e̱to ne to'o dra ñ'epu̱, to'o mahye̱gigihu̱, ma jihu̱, ya ku̱hu̱."	"nkjabu̱ ri ñ'eje ya kje̱ya inda m'e̱di, inda mpumfri, ga nzäi ga pe̱tsi nugagiju̱ ja ma mfeniju̱, ga pe̱tsi nugagiju̱, ra bätsi dige'u̱, ya b'e̱to, ya ntsaniku, ya mbänga b'e̱to ne to'o dra ñ'epu̱, to'o majye̱gigiju̱, ma kjiju̱, ya ku̱ju̱."	"njabu̱ ri ñ'ehe ya je̱ya inda m'e̱di, inda mpumfri, ga nzäi ga pe̱tsi nugagihu̱ ha ma mfenihu̱, ga pe̱tsi nugagihu̱, ra bätsi dige'u̱, ya b'e̱to, ya ntsaniku, ya mbänga b'e̱to ne to'o dra ñ'epu̱, to'o mahye̱gigihu̱, ma jihu̱, ya ku̱hu̱."	"njabu̱ ri ñ'ehe ya je̱ya inda m'e̱di, inda mpumfri, ga nzäi ga pe̱tsi nugagihu̱ ha ma mfenihu̱, ga pe̱tsi nugagihu̱, ra bätsi dige'u̱, ya b'e̱to, ya ntsaniku, ya mbänga b'e̱to ne to'o dra ñ'epu̱, to'o mahye̱gigihu̱, ma jihu̱, ya ku̱hu̱."
"—Ñ'emabagi, ya gabida, ya jä'ihu̠ gi pädi ra ntuni ra mem'onda ba ehehu̠ ga te̠nihu̠ma nzu̠tehu̠. Ko ya mätsa mi te̠he̠, ko ya bu̠'bai ko ngatho ra ts'e̱di mi te̠he̠ ra ñ'u."	"-ñ'emabagi, ya gabida, ya kjä'iju̱ gi pädi ra ntuni ra mem'onda ba ejeju̱ ga te̱niju̱ma nzu̱teju̱. ko ya mätsa mi te̱je̱, ko ya bu̱'bai ko ngatjo ra ts'e̱di mi te̱je̱ ra ñ'u."	"-ñ'emabagi, ya gabida, ya jä'ihu̱ gi pädi ra ntuni ra mem'onda ba ehehu̱ ga te̱nihu̱ma nzu̱tehu̱. ko ya mätsa mi te̱he̱, ko ya bu̱'bai ko ngatho ra ts'e̱di mi te̱he̱ ra ñ'u."	"-ñ'emabagi, ya gabida, ya jä'ihu̱ gi pädi ra ntuni ra mem'onda ba ehehu̱ ga te̱nihu̱ma nzu̱tehu̱. ko ya mätsa mi te̱he̱, ko ya bu̱'bai ko ngatho ra ts'e̱di mi te̱he̱ ra ñ'u."
"Bi tse̱ti nuna ngot'i ra M'onda, ngu pede ra Dänga B'ede, ya K'oi ne ya njändahmä, ngu nu'a ra hmä ra Alonso Axayaca, goho n'ate ma pa bi nzo̱t'e nuna pa."	"bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya nkjändajmä, ngu nu'a ra jmä ra alonso axayaca, gojo n'ate ma pa bi nzo̱t'e nuna pa."	"bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya njändahmä, ngu nu'a ra hmä ra alonso axayaca, goho n'ate ma pa bi nzo̱t'e nuna pa."	"bi tse̱ti nuna ngot'i ra m'onda, ngu pede ra dänga b'ede, ya k'oi ne ya njändahmä, ngu nu'a ra hmä ra alonso axayaca, goho n'ate ma pa bi nzo̱t'e nuna pa."
"Ya zi b'e̱hña mi ägi ha ya b'a ne ha ya ngo̱de, nuya ñ'o̱ho̱ mbo ha ya ne, ha ya njom'ahudi."	"ya zi b'e̱jña mi ägi ja ya b'a ne ja ya ngo̱de, nuya ñ'o̱jo̱ mbo ja ya ne, ja ya nkjom'ajudi."	"ya zi b'e̱hña mi ägi ha ya b'a ne ha ya ngo̱de, nuya ñ'o̱ho̱ mbo ha ya ne, ha ya njom'ahudi."	"ya zi b'e̱hña mi ägi ha ya b'a ne ha ya ngo̱de, nuya ñ'o̱ho̱ mbo ha ya ne, ha ya njom'ahudi."
Gatho ya hyoyajä'i mi b'u̱i ha ra hnini bi handi.	gatjo ya jyoyakjä'i mi b'u̱i ja ra jnini bi jandi.	gatho ya hyoyajä'i mi b'u̱i ha ra hnini bi handi.	gatho ya hyoyajä'i mi b'u̱i ha ra hnini bi handi.
bi tso̱hso̱ ra ngo ma ajuähu̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tso̱jso̱ ra ngo ma akjuäju̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tso̱hso̱ ra ngo ma ajuähu̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.	bi tso̱hso̱ ra ngo ma ajuähu̱: nubia da fu̱di da guadi ra r'e̱t'a ra pa.
"—O̱t'a ra mäte gi o̱dehu̱, ja gi b'ai nuuahu̱. Mont'a ya ngo Ajuä; ri juat'i ra ngo ga tsunda ma ajuähe."	"-o̱t'a ra mäte gi o̱deju̱, kja gi b'ai nuuaju̱. mont'a ya ngo akjuä; ri kjuat'i ra ngo ga tsunda ma akjuäje."	"-o̱t'a ra mäte gi o̱dehu̱, ja gi b'ai nuuahu̱. mont'a ya ngo ajuä; ri juat'i ra ngo ga tsunda ma ajuähe."	"-o̱t'a ra mäte gi o̱dehu̱, ja gi b'ai nuuahu̱. mont'a ya ngo ajuä; ri juat'i ra ngo ga tsunda ma ajuähe."
"Xi mi taxki ra ñ'u, imbi tsa da r'anga n'a, ho̱nse̱he̱ mi taxka n'a ha ra bo̱hai. Ya y'ofadi mi ju̱t'atho."	"xi mi taxki ra ñ'u, imbi tsa da r'anga n'a, jo̱nse̱je̱ mi taxka n'a ja ra bo̱jai. ya y'ofadi mi kju̱t'atjo."	"xi mi taxki ra ñ'u, imbi tsa da r'anga n'a, ho̱nse̱he̱ mi taxka n'a ha ra bo̱hai. ya y'ofadi mi ju̱t'atho."	"xi mi taxki ra ñ'u, imbi tsa da r'anga n'a, ho̱nse̱he̱ mi taxka n'a ha ra bo̱hai. ya y'ofadi mi ju̱t'atho."
"Nuya hñu o gohoya pa bi b'u̱i nubu̱ bi xitsuabi ra jäpadehe ndunthi ya jä'i, ngu xa t'ena."	"nuya jñu o gojoya pa bi b'u̱i nubu̱ bi xitsuabi ra kjäpadeje nduntji ya kjä'i, ngu xa t'ena."	"nuya hñu o gohoya pa bi b'u̱i nubu̱ bi xitsuabi ra jäpadehe ndunthi ya jä'i, ngu xa t'ena."	"nuya hñu o gohoya pa bi b'u̱i nubu̱ bi xitsuabi ra jäpadehe ndunthi ya jä'i, ngu xa t'ena."
"Nu xä oth'u̱, ma gä ñ'jähu̱"	"nu xä otj'u̱, ma gä ñ'kjäju̱"	"nu xä oth'u̱, ma gä ñ'jähu̱"	"nu xä oth'u̱, ma gä ñ'jähu̱"
"Ga juatihu̱ nu'a huts'i njani, ya ts'ojä'i, ra Carranza, ge xa o̱t'a ya ts'okuate pa gekagihu̱; ga o̱t'e da nja ra ts'e̱di ma munts' ne njabu̱ ga tsu̱dihu̱ da nja nu'a ra hoga tsu̱tui, da nja ra hai, ra hñegi ne ra hoga ts'u̱tui;"	"ga kjuatiju̱ nu'a juts'i nkjani, ya ts'ojä'i, ra carranza, ge xa o̱t'a ya ts'okuate pa gekagiju̱; ga o̱t'e da nkja ra ts'e̱di ma munts' ne njabu̱ ga tsu̱diju̱ da nkja nu'a ra joga tsu̱tui, da nkja ra jai, ra jñegi ne ra joga ts'u̱tui;"	"ga juatihu̱ nu'a huts'i njani, ya ts'ojä'i, ra carranza, ge xa o̱t'a ya ts'okuate pa gekagihu̱; ga o̱t'e da nja ra ts'e̱di ma munts' ne njabu̱ ga tsu̱dihu̱ da nja nu'a ra hoga tsu̱tui, da nja ra hai, ra hñegi ne ra hoga ts'u̱tui;"	"ga juatihu̱ nu'a huts'i njani, ya ts'ojä'i, ra carranza, ge xa o̱t'a ya ts'okuate pa gekagihu̱; ga o̱t'e da nja ra ts'e̱di ma munts' ne njabu̱ ga tsu̱dihu̱ da nja nu'a ra hoga tsu̱tui, da nja ra hai, ra hñegi ne ra hoga ts'u̱tui;"
"Ha n'aa nza̱tho xudi ra pale Berto, bi bo̱ni nda hyonga te nda nzimxidi ngetho nda zi ya hme hyaxtho mi u̱xa ya u, ua ngu mi nzäi mi nkahui yá hme nuya chuju̱ xa hogi ha nuya 'bomuha̱i Nts'ät'i, Nt'o̱kuä;"	"ja n'aa nza̱tjo xudi ra pale berto, bi bo̱ni nda jyonga te nda nzimxidi ngetjo nda zi ya jme jyaxtjo mi u̱xa ya u, ua ngu mi nzäi mi nkajui yá jme nuya chukju̱ xa jogi ja nuya 'bomuja̱i nts'ät'i, nt'o̱kuä;"	"ha n'aa nza̱tho xudi ra pale berto, bi bo̱ni nda hyonga te nda nzimxidi ngetho nda zi ya hme hyaxtho mi u̱xa ya u, ua ngu mi nzäi mi nkahui yá hme nuya chuju̱ xa hogi ha nuya 'bomuha̱i nts'ät'i, nt'o̱kuä;"	"ha n'aa nza̱tho xudi ra pale berto, bi bo̱ni nda hyonga te nda nzimxidi ngetho nda zi ya hme hyaxtho mi u̱xa ya u, ua ngu mi nzäi mi nkahui yá hme nuya txuju̱ xa hogi ha nuya 'bomuha̱i nts'ät'i, nt'o̱kuä;"
"Ya dänga mfu̱nga bo̱jä bi ntho, bi kot'i ko ya mahjuai, mi zu̱m'i nehe ko ya t'e̱nga ts'u̱t'abo̱ja."	"ya dänga mfu̱nga bo̱kjä bi ntjo, bi kot'i ko ya majkjuai, mi zu̱m'i neje ko ya t'e̱nga ts'u̱t'abo̱kja."	"ya dänga mfu̱nga bo̱jä bi ntho, bi kot'i ko ya mahjuai, mi zu̱m'i nehe ko ya t'e̱nga ts'u̱t'abo̱ja."	"ya dänga mfu̱nga bo̱jä bi ntho, bi kot'i ko ya mahjuai, mi zu̱m'i nehe ko ya t'e̱nga ts'u̱t'abo̱ja."